Method,k,Silhouette,DB_Index
K-means,2,0.336959047074365,1.2570715849958862
K-means,3,0.25293935310587373,1.2802588128046726
K-means,4,0.25791537168938533,1.3139709791097385
K-means,5,0.27340023222989224,1.2115218370276393
Hierarchical,2,0.25999237230058875,1.5045175671769169
Hierarchical,3,0.2573434331913656,1.271148211965957
Hierarchical,4,0.2558035086196544,1.1998194596686804
Hierarchical,5,0.2173528640446778,1.1429336743525056
GMM,2,0.26506949733503476,1.4079116075687446
GMM,3,0.14517099915476364,2.215383628381522
GMM,4,0.18206735591179865,1.585653236487389
GMM,5,0.13003077154336132,1.9721087925087049
